,YEAR,TECHNOLOGY,FUEL,EMISSION,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedOperatingCost,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,OperatingCost,ProductionByTechnology,RateOfProductionByTechnologyByMode,SalvageValue,TotalCapacityAnnual,TotalDiscountedCost,TotalDiscountedCostByTechnology,TotalTechnologyAnnualActivity,UseByTechnology,Externalities2024,Capex2024,Opex2024,FixedOpex2024,VarOpex2024
97,2049,DIST_BGS,,,0.0554,,,,,,,,,,,,,0.0554,,,,,0.0554,,,0.0554,,,,,,
98,2050,DIST_BGS,,,0.0554,,,,,,,,,,,,,0.0554,,,,,0.0554,,,0.0554,,,,,,
99,2018,DIST_CRU,,,41.4628,,,,,,624.42977,,,,609.26502,,,41.4628,624.42977,,,,41.4628,,609.26502,41.4628,,,,838.7101,,838.7101
100,2019,DIST_CRU,,,39.0888,,,,,,588.67733,,,,546.82107,,,39.0888,588.67733,,,,39.0888,,546.82107,39.0888,,,,752.7502,,752.7502
101,2020,DIST_CRU,,,15.9656,,,,,,240.44194,,,,212.62946,,,15.9656,240.44194,,,,15.9656,,212.62946,15.9656,,,,292.7043,,292.7043
102,2021,DIST_CRU,,,39.4243,,,,,,593.72996,,,,499.85894,,,39.4243,593.72996,,,,39.4243,,499.85894,39.4243,,,,688.1024,,688.1024
103,2022,DIST_CRU,,,39.4243,,,,,,593.72996,,,,475.87485,,,39.4243,593.72996,,,,39.4243,,475.87485,39.4243,,,,655.0861,,655.0861
104,2023,DIST_CRU,,,39.4243,,,,,,593.72996,,,,453.04156,,,39.4243,593.72996,,,,39.4243,,453.04156,39.4243,,,,623.6539,,623.6539
105,2024,DIST_CRU,,,39.4243,,,,,,588.99904,,,,427.86716,,,39.4243,588.99904,,,,39.4243,,427.86716,39.4243,,,,588.999,,588.999
106,2025,DIST_CRU,,,39.4243,,,,,,584.26813,,,,404.06557,,,39.4243,584.26813,,,,39.4243,,404.06557,39.4243,,,,556.2339,,556.2339
107,2026,DIST_CRU,,,39.4243,,,,,,586.97658,,,,386.46103,,,39.4243,586.97658,,,,39.4243,,386.46103,39.4243,,,,531.9997,,531.9997
108,2027,DIST_CRU,,,39.4243,,,,,,589.68502,,,,369.61563,,,39.4243,589.68502,,,,39.4243,,369.61563,39.4243,,,,508.8104,,508.8104
109,2028,DIST_CRU,,,39.4243,,,,,,592.39347,,,,353.49704,,,39.4243,592.39347,,,,39.4243,,353.49704,39.4243,,,,486.6216,,486.6216
110,2029,DIST_CRU,,,39.4243,,,,,,595.09798,,,,338.07206,,,39.4243,595.09798,,,,39.4243,,338.07206,39.4243,,,,465.3877,,465.3877
111,2030,DIST_CRU,,,39.4243,,,,,,597.80643,,,,323.31561,,,39.4243,597.80643,,,,39.4243,,323.31561,39.4243,,,,445.0741,,445.0741
112,2031,DIST_CRU,,,39.4243,,,,,,600.51488,,,,309.19691,,,39.4243,600.51488,,,,39.4243,,309.19691,39.4243,,,,425.6384,,425.6384
113,2032,DIST_CRU,,,39.4243,,,,,,603.22333,,,,295.68874,,,39.4243,603.22333,,,,39.4243,,295.68874,39.4243,,,,407.0431,,407.0431
114,2033,DIST_CRU,,,39.4243,,,,,,605.93178,,,,282.76502,,,39.4243,605.93178,,,,39.4243,,282.76502,39.4243,,,,389.2524,,389.2524
115,2034,DIST_CRU,,,39.4243,,,,,,608.64023,,,,270.40075,,,39.4243,608.64023,,,,39.4243,,270.40075,39.4243,,,,372.2318,,372.2318
116,2035,DIST_CRU,,,39.4243,,,,,,611.34474,,,,258.57033,,,39.4243,611.34474,,,,39.4243,,258.57033,39.4243,,,,355.9462,,355.9462
117,2036,DIST_CRU,,,39.57,,,,,,616.32253,,,,248.16804,,,39.57,616.32253,,,,39.57,,248.16804,39.57,,,,341.6264,,341.6264
118,2037,DIST_CRU,,,39.57,,,,,,619.04099,,,,237.3026,,,39.57,619.04099,,,,39.57,,237.3026,39.57,,,,326.6692,,326.6692
119,2038,DIST_CRU,,,39.57,,,,,,621.75945,,,,226.90851,,,39.57,621.75945,,,,39.57,,226.90851,39.57,,,,312.3607,,312.3607
120,2039,DIST_CRU,,,39.57,,,,,,624.47791,,,,216.96553,,,39.57,624.47791,,,,39.57,,216.96553,39.57,,,,298.6733,,298.6733
121,2040,DIST_CRU,,,39.57,,,,,,627.19637,,,,207.45432,,,39.57,627.19637,,,,39.57,,207.45432,39.57,,,,285.5802,,285.5802
122,2041,DIST_CRU,,,39.57,,,,,,629.91483,,,,198.35634,,,39.57,629.91483,,,,39.57,,198.35634,39.57,,,,273.056,,273.056
123,2042,DIST_CRU,,,39.57,,,,,,632.62933,,,,189.65262,,,39.57,632.62933,,,,39.57,,189.65262,39.57,,,,261.0745,,261.0745
124,2043,DIST_CRU,,,39.57,,,,,,635.34779,,,,181.32861,,,39.57,635.34779,,,,39.57,,181.32861,39.57,,,,249.6157,,249.6157
125,2044,DIST_CRU,,,39.57,,,,,,638.06625,,,,173.36678,,,39.57,638.06625,,,,39.57,,173.36678,39.57,,,,238.6555,,238.6555
126,2045,DIST_CRU,,,39.57,,,,,,640.78471,,,,165.75152,,,39.57,640.78471,,,,39.57,,165.75152,39.57,,,,228.1724,,228.1724
127,2046,DIST_CRU,,,39.57,,,,,,643.50317,,,,158.46792,,,39.57,643.50317,,,,39.57,,158.46792,39.57,,,,218.1459,,218.1459
128,2047,DIST_CRU,,,39.57,,,,,,646.22163,,,,151.50168,,,39.57,646.22163,,,,39.57,,151.50168,39.57,,,,208.5562,,208.5562
129,2048,DIST_CRU,,,39.57,,,,,,648.93613,,,,144.83823,,,39.57,648.93613,,,,39.57,,144.83823,39.57,,,,199.3833,,199.3833
130,2049,DIST_CRU,,,39.57,,,,,,651.65459,,,,138.46627,,,39.57,651.65459,,,,39.57,,138.46627,39.57,,,,190.6117,,190.6117
