REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
RD,All,PPCCTDSL,E1DSL,2050,9.51767232
RD,All,PPCCTNGS,E1NGS,2018,15.7504
RD,All,PPCCTNGS,E1NGS,2019,15.2754
RD,All,PPCCTNGS,E1NGS,2020,13.8297
RD,All,PPCCTNGS,E1NGS,2021,21.0548
RD,All,PPCCTNGS,E1NGS,2022,14.3519
RD,All,PPCCTNGS,E1NGS,2023,18.4439
RD,All,PPCCTNGS,E1NGS,2024,19.935
RD,All,PPCCTNGS,E1NGS,2025,20.9843
RD,All,PPCCTNGS,E1NGS,2026,22.2544
RD,All,PPCCTNGS,E1NGS,2027,23.5246
RD,All,PPCCTNGS,E1NGS,2028,24.7948
RD,All,PPCCTNGS,E1NGS,2029,26.065
RD,All,PPCCTNGS,E1NGS,2030,27.3352
RD,All,PPCCTNGS,E1NGS,2031,28.6054
RD,All,PPCCTNGS,E1NGS,2032,29.8756
RD,All,PPCCTNGS,E1NGS,2033,31.1457
RD,All,PPCCTNGS,E1NGS,2034,32.4159
RD,All,PPCCTNGS,E1NGS,2035,33.6861
RD,All,PPCCTNGS,E1NGS,2036,34.9563
RD,All,PPCCTNGS,E1NGS,2037,36.2265
RD,All,PPCCTNGS,E1NGS,2038,37.4967
RD,All,PPCCTNGS,E1NGS,2039,38.7669
RD,All,PPCCTNGS,E1NGS,2040,40.037
RD,All,PPCCTNGS,E1NGS,2041,41.3072
RD,All,PPCCTNGS,E1NGS,2042,42.5774
RD,All,PPCCTNGS,E1NGS,2043,43.8476
RD,All,PPCCTNGS,E1NGS,2044,45.1178
RD,All,PPCCTNGS,E1NGS,2045,46.388
RD,All,PPCCTNGS,E1NGS,2046,47.6581
RD,All,PPCCTNGS,E1NGS,2047,48.9283
RD,All,PPCCTNGS,E1NGS,2048,50.1985
RD,All,PPCCTNGS,E1NGS,2049,51.4687
RD,All,PPCCTNGS,E1NGS,2050,52.7389
RD,All,PPCCTNGSDSL,E1NGS,2023,0.9721
RD,All,PPCCTNGSDSL,E1NGS,2024,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2025,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2026,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2027,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2028,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2029,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2030,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2031,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2032,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2033,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2034,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2035,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2036,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2037,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2038,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2039,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2040,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2041,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2042,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2043,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2044,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2045,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2046,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2047,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2048,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2049,8.257899999999998
RD,All,PPCCTNGSDSL,E1NGS,2050,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2023,0.9721
RD,All,PPCCTNGSDSL,E1DSL,2024,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2025,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2026,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2027,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2028,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2029,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2030,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2031,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2032,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2033,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2034,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2035,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2036,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2037,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2038,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2039,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2040,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2041,8.257899999999998
RD,All,PPCCTNGSDSL,E1DSL,2042,8.257899999999998
