,REGION,MODE_OF_OPERATION,TECHNOLOGY,FUEL,EMISSION,YEAR,TIMESLICE,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalDiscountedCost,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
15536,CR,1.0,PPWNDON,E1ELE,,2025.0,All,,,,,,,,,,,,,,,,7.216718430264007,,,,,,,,,
15537,CR,1.0,PPWNDON,E1ELE,,2026.0,All,,,,,,,,,,,,,,,,7.7419426386160035,,,,,,,,,
15538,CR,1.0,PPWNDON,E1ELE,,2027.0,All,,,,,,,,,,,,,,,,9.244512372799994,,,,,,,,,
15539,CR,1.0,PPWNDON,E1ELE,,2028.0,All,,,,,,,,,,,,,,,,10.461645057095998,,,,,,,,,
15540,CR,1.0,PPWNDON,E1ELE,,2029.0,All,,,,,,,,,,,,,,,,11.537944092960016,,,,,,,,,
15541,CR,1.0,PPWNDON,E1ELE,,2030.0,All,,,,,,,,,,,,,,,,11.65750115662401,,,,,,,,,
15542,CR,1.0,PPWNDON,E1ELE,,2031.0,All,,,,,,,,,,,,,,,,12.928929752463992,,,,,,,,,
15543,CR,1.0,PPWNDON,E1ELE,,2032.0,All,,,,,,,,,,,,,,,,14.412321518798404,,,,,,,,,
15544,CR,1.0,PPWNDON,E1ELE,,2033.0,All,,,,,,,,,,,,,,,,16.245315140613606,,,,,,,,,
15545,CR,1.0,PPWNDON,E1ELE,,2034.0,All,,,,,,,,,,,,,,,,18.538064574726413,,,,,,,,,
15546,CR,1.0,PPWNDON,E1ELE,,2035.0,All,,,,,,,,,,,,,,,,21.870080395408003,,,,,,,,,
15547,CR,1.0,PPWNDON,E1ELE,,2036.0,All,,,,,,,,,,,,,,,,25.859918984980972,,,,,,,,,
15548,CR,1.0,PPWNDON,E1ELE,,2037.0,All,,,,,,,,,,,,,,,,30.21124866230676,,,,,,,,,
15549,CR,1.0,PPWNDON,E1ELE,,2038.0,All,,,,,,,,,,,,,,,,34.972095572672025,,,,,,,,,
15550,CR,1.0,PPWNDON,E1ELE,,2039.0,All,,,,,,,,,,,,,,,,39.95272455567441,,,,,,,,,
15551,CR,1.0,PPWNDON,E1ELE,,2040.0,All,,,,,,,,,,,,,,,,44.52203941840002,,,,,,,,,
15552,CR,1.0,PPWNDON,E1ELE,,2041.0,All,,,,,,,,,,,,,,,,48.7147298461856,,,,,,,,,
15553,CR,1.0,PPWNDON,E1ELE,,2042.0,All,,,,,,,,,,,,,,,,52.500614858497606,,,,,,,,,
15554,CR,1.0,PPWNDON,E1ELE,,2043.0,All,,,,,,,,,,,,,,,,55.97928548822801,,,,,,,,,
15555,CR,1.0,PPWNDON,E1ELE,,2044.0,All,,,,,,,,,,,,,,,,59.268595488796805,,,,,,,,,
15556,CR,1.0,PPWNDON,E1ELE,,2045.0,All,,,,,,,,,,,,,,,,62.574842862764,,,,,,,,,
15557,CR,1.0,PPWNDON,E1ELE,,2046.0,All,,,,,,,,,,,,,,,,65.63567284146401,,,,,,,,,
15558,CR,1.0,PPWNDON,E1ELE,,2047.0,All,,,,,,,,,,,,,,,,68.75123982405916,,,,,,,,,
15559,CR,1.0,PPWNDON,E1ELE,,2048.0,All,,,,,,,,,,,,,,,,71.925850009752,,,,,,,,,
15560,CR,1.0,PPWNDON,E1ELE,,2049.0,All,,,,,,,,,,,,,,,,76.31451123980403,,,,,,,,,
15561,CR,1.0,PPWNDON,E1ELE,,2050.0,All,,,,,,,,,,,,,,,,78.30071060368002,,,,,,,,,
15562,CR,1.0,PPPVT,E1ELE,,2018.0,All,,,,,,,,,,,,,,,,0.026668278,,,,,,,,,
15563,CR,1.0,PPPVT,E1ELE,,2023.0,All,,,,,,,,,,,,,,,,0.0513611279999999,,,,,,,,,
15564,CR,1.0,PPPVT,E1ELE,,2024.0,All,,,,,,,,,,,,,,,,0.0513611279999999,,,,,,,,,
15565,CR,1.0,PPPVT,E1ELE,,2025.0,All,,,,,,,,,,,,,,,,0.0513611279999999,,,,,,,,,
15566,CR,1.0,PPPVT,E1ELE,,2026.0,All,,,,,,,,,,,,,,,,0.0513611279999999,,,,,,,,,
15567,CR,1.0,PPPVT,E1ELE,,2027.0,All,,,,,,,,,,,,,,,,0.0513611279999999,,,,,,,,,
15568,CR,1.0,PPPVT,E1ELE,,2028.0,All,,,,,,,,,,,,,,,,0.3402,,,,,,,,,
15569,CR,1.0,PPPVT,E1ELE,,2029.0,All,,,,,,,,,,,,,,,,0.8456,,,,,,,,,
15570,CR,1.0,PPPVT,E1ELE,,2030.0,All,,,,,,,,,,,,,,,,1.339457,,,,,,,,,
15571,CR,1.0,PPPVT,E1ELE,,2031.0,All,,,,,,,,,,,,,,,,1.833314,,,,,,,,,
15572,CR,1.0,PPPVT,E1ELE,,2032.0,All,,,,,,,,,,,,,,,,2.327171,,,,,,,,,
15573,CR,1.0,PPPVT,E1ELE,,2033.0,All,,,,,,,,,,,,,,,,2.821028,,,,,,,,,
15574,CR,1.0,PPPVT,E1ELE,,2034.0,All,,,,,,,,,,,,,,,,3.3148849999999994,,,,,,,,,
15575,CR,1.0,PPPVT,E1ELE,,2035.0,All,,,,,,,,,,,,,,,,3.3148849999999994,,,,,,,,,
15576,CR,1.0,PPPVT,E1ELE,,2036.0,All,,,,,,,,,,,,,,,,3.3148849999999994,,,,,,,,,
15577,CR,1.0,PPPVT,E1ELE,,2037.0,All,,,,,,,,,,,,,,,,3.3148849999999994,,,,,,,,,
15578,CR,1.0,PPPVT,E1ELE,,2038.0,All,,,,,,,,,,,,,,,,3.3148849999999994,,,,,,,,,
15579,CR,1.0,PPPVT,E1ELE,,2039.0,All,,,,,,,,,,,,,,,,3.3148849999999994,,,,,,,,,
15580,CR,1.0,PPPVT,E1ELE,,2040.0,All,,,,,,,,,,,,,,,,3.3148849999999994,,,,,,,,,
15581,CR,1.0,PPPVT,E1ELE,,2041.0,All,,,,,,,,,,,,,,,,3.3148849999999994,,,,,,,,,
15582,CR,1.0,PPPVT,E1ELE,,2042.0,All,,,,,,,,,,,,,,,,3.3148849999999994,,,,,,,,,
15583,CR,1.0,PPPVT,E1ELE,,2043.0,All,,,,,,,,,,,,,,,,3.3148849999999994,,,,,,,,,
15584,CR,1.0,PPPVT,E1ELE,,2044.0,All,,,,,,,,,,,,,,,,3.29019215,,,,,,,,,
15585,CR,1.0,PPPVT,E1ELE,,2045.0,All,,,,,,,,,,,,,,,,3.29019215,,,,,,,,,
15586,CR,1.0,PPPVT,E1ELE,,2046.0,All,,,,,,,,,,,,,,,,3.29019215,,,,,,,,,
15587,CR,1.0,PPPVT,E1ELE,,2047.0,All,,,,,,,,,,,,,,,,3.29019215,,,,,,,,,
15588,CR,1.0,PPPVT,E1ELE,,2048.0,All,,,,,,,,,,,,,,,,3.29019215,,,,,,,,,
15589,CR,1.0,PPPVT,E1ELE,,2049.0,All,,,,,,,,,,,,,,,,3.29019215,,,,,,,,,
15590,CR,1.0,PPPVT,E1ELE,,2050.0,All,,,,,,,,,,,,,,,,3.29019215,,,,,,,,,
15591,CR,1.0,PPBIO,E1ELE,,2018.0,All,,,,,,,,,,,,,,,,0.2683760039999999,,,,,,,,,
15592,CR,1.0,PPBIO,E1ELE,,2019.0,All,,,,,,,,,,,,,,,,0.2683760039999999,,,,,,,,,
15593,CR,1.0,PPBIO,E1ELE,,2020.0,All,,,,,,,,,,,,,,,,0.2683760039999999,,,,,,,,,
15594,CR,1.0,PPBIO,E1ELE,,2021.0,All,,,,,,,,,,,,,,,,0.2683760039999999,,,,,,,,,
15595,CR,1.0,PPBIO,E1ELE,,2022.0,All,,,,,,,,,,,,,,,,0.2683760039999999,,,,,,,,,
15596,CR,1.0,PPBIO,E1ELE,,2023.0,All,,,,,,,,,,,,,,,,0.27091584,,,,,,,,,
15597,CR,1.0,PPBIO,E1ELE,,2024.0,All,,,,,,,,,,,,,,,,0.2733710147999999,,,,,,,,,
15598,CR,1.0,PPBIO,E1ELE,,2025.0,All,,,,,,,,,,,,,,,,0.2759108508,,,,,,,,,
15599,CR,1.0,PPBIO,E1ELE,,2026.0,All,,,,,,,,,,,,,,,,0.2784506868,,,,,,,,,
15600,CR,1.0,PPBIO,E1ELE,,2027.0,All,,,,,,,,,,,,,,,,0.2809058615999999,,,,,,,,,
15601,CR,1.0,PPBIO,E1ELE,,2028.0,All,,,,,,,,,,,,,,,,0.2834456975999999,,,,,,,,,
15602,CR,1.0,PPBIO,E1ELE,,2029.0,All,,,,,,,,,,,,,,,,0.2859008724,,,,,,,,,
15603,CR,1.0,PPBIO,E1ELE,,2030.0,All,,,,,,,,,,,,,,,,0.2884407083999999,,,,,,,,,
15604,CR,1.0,PPBIO,E1ELE,,2031.0,All,,,,,,,,,,,,,,,,0.2909805443999999,,,,,,,,,
15605,CR,1.0,PPBIO,E1ELE,,2032.0,All,,,,,,,,,,,,,,,,0.2934357192,,,,,,,,,
15606,CR,1.0,PPBIO,E1ELE,,2033.0,All,,,,,,,,,,,,,,,,0.2959755551999999,,,,,,,,,
15607,CR,1.0,PPBIO,E1ELE,,2034.0,All,,,,,,,,,,,,,,,,0.2985153911999999,,,,,,,,,
15608,CR,1.0,PPBIO,E1ELE,,2035.0,All,,,,,,,,,,,,,,,,0.3009705659999999,,,,,,,,,
15609,CR,1.0,PPBIO,E1ELE,,2036.0,All,,,,,,,,,,,,,,,,0.3035104019999999,,,,,,,,,
15610,CR,1.0,PPBIO,E1ELE,,2037.0,All,,,,,,,,,,,,,,,,0.306050238,,,,,,,,,
15611,CR,1.0,PPBIO,E1ELE,,2038.0,All,,,,,,,,,,,,,,,,0.3085054127999999,,,,,,,,,
