block,o_id,outcome,level,o1_fam,o1_col,o2_fam,o2_col,family,column,period,base_thr,thr_type,thr_range,thr_value,thr_value_norm,prim_option,coverage,density,avg_cov_dev,driver_col,min,max,min_norm,max_norm,query_type
1,1,Benefit,1,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,22-35,Low,Low,25.0,-0.008485213356130528,0.43756064116251914,base,0.702,0.8775,0.78975,Net CAPEX and OPEX of passenger transport_wrtBAU,-0.012089303754195093,-0.004107076488243679,0.0,0.5212097719745108,structured
1,1,Benefit,1,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,22-35,Low,Low,25.0,-0.008485213356130528,0.43756064116251914,base,0.702,0.8775,0.78975,Net CAPEX and OPEX of power and H2_wrtBAU,-0.004943054738047347,-0.0013426963508262682,0.0,0.8057523032700077,structured
1,1,Benefit,1,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,22-35,Low,Low,25.0,-0.008485213356130528,0.43756064116251914,base,0.702,0.8775,0.78975,Net CAPEX and OPEX of freight transport_wrtBAU,-0.005254350108214891,-0.0006529298424462473,0.0,0.7196661278385594,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of freight transport_wrtBAU,22-35,High,High,49.1510318228576,-0.0021117184743988378,0.49151031822857594,base,0.7203204661325564,0.9182915506035283,0.8193060083680423,ZEV Penetration of Heavy and Light Freight Transport_direct,0.007676576817264008,0.07351996734009676,0.0,0.3261073038052893,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of freight transport_wrtBAU,22-35,High,High,49.1510318228576,-0.0021117184743988378,0.49151031822857594,base,0.7203204661325564,0.9182915506035283,0.8193060083680423,Capital costs electric_direct,0.555419821818532,1.0496295036679983,0.0,0.947158345485557,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,22-35,High,High,47.476988444161954,-0.002821631406693162,0.47476988444161955,base,0.7142857142857143,0.954653937947494,0.8344698261166041,Generation cost average_direct,8.221068225657243,14.603586394675851,0.0,0.5172722913276155,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,22-35,High,High,47.476988444161954,-0.002821631406693162,0.47476988444161955,base,0.7142857142857143,0.954653937947494,0.8344698261166041,ZEV Penetration of Heavy and Light Freight Transport_direct,0.007676576817264008,0.10486232247301133,0.0,0.48133884407292293,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,22-35,High,High,47.476988444161954,-0.002821631406693162,0.47476988444161955,base,0.7142857142857143,0.954653937947494,0.8344698261166041,ZEV Penetration of passenger transport_direct,0.014708384382074509,0.16017605650106556,0.0,0.5952675842771533,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-35,High,High,69.65865407118415,-0.0014212150548973436,0.6965865407118415,base,0.7046979865771812,0.532319391634981,0.6185086891060811,Passenger rail and urban interventions_direct,0.003089216983404134,0.005159876079619223,0.0,0.6120149766130977,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-35,High,High,69.65865407118415,-0.0014212150548973436,0.6965865407118415,base,0.7046979865771812,0.532319391634981,0.6185086891060811,Passenger transport fleet_direct,1305467.5114000002,2058540.4813000003,0.0,0.6428202392769589,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-35,High,High,69.65865407118415,-0.0014212150548973436,0.6965865407118415,base,0.7046979865771812,0.532319391634981,0.6185086891060811,ZEV Penetration of passenger transport_direct,0.014708384382074509,0.13305438907411976,0.0,0.48428313518526,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-35,High,High,69.65865407118415,-0.0014212150548973436,0.6965865407118415,base,0.7046979865771812,0.532319391634981,0.6185086891060811,Capital costs electric_direct,0.555419821818532,1.0083538352942565,0.0,0.8680530685120644,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of freight transport_wrtBAU,22-35,Low,Low,71.96661278385594,-0.0006529298424462473,0.7196661278385594,base,0.715820895522388,0.9538583929992045,0.8348396442607963,Capital costs electric_direct,0.6975252341310693,1.0772013002851675,0.27234660135914346,1.0,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of freight transport_wrtBAU,22-35,Low,Low,71.96661278385594,-0.0006529298424462473,0.7196661278385594,base,0.715820895522388,0.9538583929992045,0.8348396442607963,ZEV Penetration of Heavy and Light Freight Transport_direct,0.040585399294330624,0.20958370908482657,0.16298989593620009,1.0,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of power and H2_wrtBAU,22-35,Low,Low,80.57523032700077,-0.0013426963508262682,0.8057523032700077,base,0.727705112960761,0.9737470167064439,0.8507260648336025,Generation cost average_direct,11.782829972564747,20.55986594597864,0.28866359815928067,1.0,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-35,Low,Low,52.12097719745108,-0.004107076488243679,0.5212097719745108,base,0.7068607068607069,0.4539385847797063,0.5803996458202065,Passenger rail and urban interventions_direct,0.004311585215253001,0.00647256408329727,0.36128963294587063,1.0,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-35,Low,Low,52.12097719745108,-0.004107076488243679,0.5212097719745108,base,0.7068607068607069,0.4539385847797063,0.5803996458202065,Capital costs electric_direct,0.694362162493271,1.0772013002851675,0.26628453942644764,1.0,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-35,Low,Low,52.12097719745108,-0.004107076488243679,0.5212097719745108,base,0.7068607068607069,0.4539385847797063,0.5803996458202065,Passenger transport fleet_direct,1633400.79435,2476981.604900001,0.27992261020972475,1.0,structured
1,1,Benefit,2,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,,,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of passenger transport_wrtBAU,22-35,Low,Low,52.12097719745108,-0.004107076488243679,0.5212097719745108,base,0.7068607068607069,0.4539385847797063,0.5803996458202065,Capital costs fossil_direct,0.8840992522403166,1.105031438620466,0.0,0.9519331368712146,structured
1,1,Benefit,3,o_pure_wrtBAU_d_pure_wrtBAU,Benefit_wrtBAU,o_pure_wrtBAU_d_pure_direct,Net CAPEX and OPEX of freight transport_wrtBAU,o_pure_direct_d_pure_direct,ZEV Penetration of Heavy and Light Freight Transport_direct,22-35,High,Low,32.61073038052893,0.07351996734009676,0.3261073038052893,base,0.7082228116710876,0.9154285714285715,0.8118256915498295,Electrification of Heavy Freight_direct,0.0,0.16996379850824728,0.0,0.5721643315284022,structured
