,Parameter,YEAR,TECHNOLOGY,FUEL,EMISSION,VALUE
240,AccumulatedNewCapacity,2027,DIST_LPG,,,51.494252
241,AccumulatedNewCapacity,2028,DIST_LPG,,,52.412045
242,AccumulatedNewCapacity,2029,DIST_LPG,,,52.401712
243,AccumulatedNewCapacity,2030,DIST_LPG,,,52.8173
244,AccumulatedNewCapacity,2031,DIST_LPG,,,52.963088
245,AccumulatedNewCapacity,2032,DIST_LPG,,,53.057653
246,AccumulatedNewCapacity,2033,DIST_LPG,,,53.012667
247,AccumulatedNewCapacity,2034,DIST_LPG,,,52.973579
248,AccumulatedNewCapacity,2035,DIST_LPG,,,52.855583
249,AccumulatedNewCapacity,2036,DIST_LPG,,,50.567048
250,AccumulatedNewCapacity,2037,DIST_LPG,,,50.493769
251,AccumulatedNewCapacity,2038,DIST_LPG,,,50.343405
252,AccumulatedNewCapacity,2039,DIST_LPG,,,50.51183
253,AccumulatedNewCapacity,2040,DIST_LPG,,,50.076084
254,AccumulatedNewCapacity,2041,DIST_LPG,,,49.249878
255,AccumulatedNewCapacity,2042,DIST_LPG,,,49.08138
256,AccumulatedNewCapacity,2043,DIST_LPG,,,48.786953
257,AccumulatedNewCapacity,2044,DIST_LPG,,,48.751052
258,AccumulatedNewCapacity,2045,DIST_LPG,,,48.833367
259,AccumulatedNewCapacity,2046,DIST_LPG,,,48.731579
260,AccumulatedNewCapacity,2047,DIST_LPG,,,48.544943
261,AccumulatedNewCapacity,2048,DIST_LPG,,,48.321564
262,AccumulatedNewCapacity,2049,DIST_LPG,,,48.20801
263,AccumulatedNewCapacity,2050,DIST_LPG,,,48.307179
264,AccumulatedNewCapacity,2018,DIST_FOI,,,47.403512
265,AccumulatedNewCapacity,2019,DIST_FOI,,,55.647852
266,AccumulatedNewCapacity,2020,DIST_FOI,,,41.985057
267,AccumulatedNewCapacity,2021,DIST_FOI,,,34.182981
268,AccumulatedNewCapacity,2022,DIST_FOI,,,53.302882
269,AccumulatedNewCapacity,2023,DIST_FOI,,,42.065908
270,AccumulatedNewCapacity,2024,DIST_FOI,,,43.464016
271,AccumulatedNewCapacity,2025,DIST_FOI,,,41.376484
272,AccumulatedNewCapacity,2026,DIST_FOI,,,39.247609
273,AccumulatedNewCapacity,2027,DIST_FOI,,,44.477528
274,AccumulatedNewCapacity,2028,DIST_FOI,,,42.407648
275,AccumulatedNewCapacity,2029,DIST_FOI,,,40.309617
276,AccumulatedNewCapacity,2030,DIST_FOI,,,38.209929
277,AccumulatedNewCapacity,2031,DIST_FOI,,,39.42649
278,AccumulatedNewCapacity,2032,DIST_FOI,,,40.65695
279,AccumulatedNewCapacity,2033,DIST_FOI,,,41.902027
280,AccumulatedNewCapacity,2034,DIST_FOI,,,43.161423
281,AccumulatedNewCapacity,2035,DIST_FOI,,,44.435861
282,AccumulatedNewCapacity,2036,DIST_FOI,,,45.594288
283,AccumulatedNewCapacity,2037,DIST_FOI,,,46.763432
284,AccumulatedNewCapacity,2038,DIST_FOI,,,47.94291
285,AccumulatedNewCapacity,2039,DIST_FOI,,,49.133356
286,AccumulatedNewCapacity,2040,DIST_FOI,,,50.334389
287,AccumulatedNewCapacity,2041,DIST_FOI,,,51.409938
288,AccumulatedNewCapacity,2042,DIST_FOI,,,52.49261
289,AccumulatedNewCapacity,2043,DIST_FOI,,,53.582219
290,AccumulatedNewCapacity,2044,DIST_FOI,,,54.67934
291,AccumulatedNewCapacity,2045,DIST_FOI,,,55.783533
292,AccumulatedNewCapacity,2046,DIST_FOI,,,56.61364
293,AccumulatedNewCapacity,2047,DIST_FOI,,,57.593596
294,AccumulatedNewCapacity,2048,DIST_FOI,,,58.578242
295,AccumulatedNewCapacity,2049,DIST_FOI,,,59.567099
296,AccumulatedNewCapacity,2050,DIST_FOI,,,60.560708
