Strategy,Future.ID,Technology,Fuel,Fuel_Surname,Year,Age,Actor,Actor_Type,Owner,GorS,DAI,Customs,SC,VAT-Imports,Total Import Taxes,GE,Vehicle Purchase,Property Tax,IUC,VAT-Electricity,H2,VKT,Energy Sales and Purchases,Investments and FOM,Variable Costs,Service Sales,Service Purchases,Investments,FOM,DAI Disc,Customs Disc,SC Disc,VAT-Imports Disc,Total Import Taxes Disc,GE Disc,Vehicle Purchase Disc,Property Tax Disc,IUC Disc,VAT-Electricity Disc,H2 Disc,VKT Disc,Energy Sales and Purchases Disc,Investments and FOM Disc,Variable Costs Disc,Service Sales Disc,Service Purchases Disc,Investments Disc,FOM Disc,Energy Price,Energy Price wTax,Energy Tax,Service Price,U SC,U Total Import Taxes,U Market Price,U CIF,Q Imports,U VKT,Q Total,U Property Tax,FV,GDP
BAU,0,,,,2019,,electricity_companies,Type_2,Businesses,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,909.7275000000001,0.2465,0.0,0.0,548.4541,361.2734000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.4072999999999,0.2348,0.0,0.0,522.3372,344.07000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
BAU,0,,,,2019,,heavy_freight_companies,Type_4,Businesses,Spend,20.1301,1.8343,0.0,32.6634,54.6278,51.3496,283.9202,0.5831,109.3849,0.0,0.0,0.0,268.5591,1182.61,0.0,0.0,0.0,295.79,886.82,19.1715,1.7469999999999999,0.0,31.108,52.0265,48.9044,270.4002,0.5553,104.1761,0.0,0.0,0.0,255.7705,1126.2952,0.0,0.0,0.0,281.7048,844.5905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
BAU,0,,,,2019,,hydrocarbon_companies,Type_2,Businesses,Gather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1536.6166999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1463.4446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
BAU,0,,,,2019,,hydrocarbon_companies,Type_2,Businesses,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.7808,1159.885,0.0,0.0,0.0,244.7808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233.1246,1104.6523,0.0,0.0,0.0,233.1246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
BAU,0,,,,2019,,hydrogen_companies,Type_2,Businesses,Spend,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
BAU,0,,,,2019,,light_truck_companies,Type_4,Businesses,Spend,0.48250000000000004,1.7116,42.1686,33.5807,77.9434,53.8806,291.8932,54.846199999999996,128.44,0.0,0.0,0.0,232.1839,1083.0059999999999,0.0,0.0,0.0,261.435,821.571,0.4596,1.6301,40.1605,31.9816,74.23179999999999,51.3149,277.9936,52.2344,122.3239,0.0,0.0,0.0,221.12759999999997,1031.4343,0.0,0.0,0.0,248.9857,782.4485999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
BAU,0,,,,2019,,private_transport_owners,Type_4,Businesses,Spend,0.0,1.8587,56.970499999999994,38.8066,97.6358,62.64399999999999,337.31929999999994,56.305099999999996,122.4849,0.0,0.0,0.0,177.8528,542.9943999999999,0.0,0.0,0.0,338.671,204.3235,0.0,1.7701,54.2576,36.9587,92.9866,59.661,321.2564,53.6239,116.6523,0.0,0.0,0.0,169.3836,517.1375,0.0,0.0,0.0,322.54380000000003,194.59380000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
BAU,0,,,,2019,,private_transport_owners,Type_4,Q1_Households,Spend,0.0,0.065,2.2232000000000003,1.8774000000000002,4.1656,3.0027,16.3187,3.0873999999999997,31.059000000000005,0.0,0.0,0.0,43.783100000000005,104.43950000000001,0.0,0.0,0.0,60.59740000000001,43.8421,0.0,0.061900000000000004,2.1174,1.788,3.9673,2.8597,15.5416,2.9402999999999997,29.58,0.0,0.0,0.0,41.6982,99.46609999999998,0.0,0.0,0.0,57.71169999999999,41.7544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
BAU,0,,,,2019,,private_transport_owners,Type_4,Q2_Households,Spend,0.0,0.0934,2.6045,2.5714,5.2693,4.0908,22.350900000000003,4.6204,44.533500000000004,0.0,0.0,0.0,61.803000000000004,148.00580000000002,0.0,0.0,0.0,87.10390000000001,60.9019,0.0,0.0889,2.4805,2.4489,5.0184,3.896,21.2866,4.4004,42.41289999999999,0.0,0.0,0.0,58.86,140.958,0.0,0.0,0.0,82.9562,58.0018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
BAU,0,,,,2019,,private_transport_owners,Type_4,Q3_Households,Spend,0.0,0.1905,7.0175,4.7015,11.9095,7.593299999999999,40.8661,7.6655,58.806,0.0,0.0,0.0,84.79369999999999,203.35,0.0,0.0,0.0,114.5819,88.76809999999999,0.0,0.1814,6.6834,4.477399999999999,11.3424,7.2317,38.92,7.3006,56.0056,0.0,0.0,0.0,80.756,193.6667,0.0,0.0,0.0,109.1257,84.541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64329.70527098113
