,YEAR,TECHNOLOGY,FUEL,EMISSION,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalDiscountedCost,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
137,2033.0,DIST_NGS,,,52.87673597114984,,,,,549.537341600966,,,,,52.87673597114984,,,52.87673597114984,,,,,,52.87673597114984,52.87673597114984,,52.87673597114984,,
138,2034.0,DIST_NGS,,,53.399647301680815,,,,,547.5279436430541,,,,,53.399647301680815,,,53.399647301680815,,,,,,53.399647301680815,53.399647301680815,,53.399647301680815,,
139,2035.0,DIST_NGS,,,53.893358632211815,,,,,545.0828185420536,,,,,53.893358632211815,,,53.893358632211815,,,,,,53.893358632211815,53.893358632211815,,53.893358632211815,,
140,2036.0,DIST_NGS,,,54.3605699627428,,,,,542.2303772073705,,,,,54.3605699627428,,,54.3605699627428,,,,,,54.3605699627428,54.3605699627428,,54.3605699627428,,
141,2037.0,DIST_NGS,,,54.80258129327377,,,,,538.9998277937354,,,,,54.80258129327377,,,54.80258129327377,,,,,,54.80258129327377,54.80258129327377,,54.80258129327377,,
142,2038.0,DIST_NGS,,,55.22159262380476,,,,,535.428562080411,,,,,55.22159262380476,,,55.22159262380476,,,,,,55.22159262380476,55.22159262380476,,55.22159262380476,,
143,2039.0,DIST_NGS,,,55.61870395433574,,,,,531.525706210005,,,,,55.61870395433574,,,55.61870395433574,,,,,,55.61870395433574,55.61870395433574,,55.61870395433574,,
144,2040.0,DIST_NGS,,,55.99541528486673,,,,,527.320024820647,,,,,55.99541528486673,,,55.99541528486673,,,,,,55.99541528486673,55.99541528486673,,55.99541528486673,,
145,2041.0,DIST_NGS,,,56.20638625425278,,,,,521.477231028332,,,,,56.20638625425278,,,56.20638625425278,,,,,,56.20638625425278,56.20638625425278,,56.20638625425278,,
146,2042.0,DIST_NGS,,,56.393257223638805,,,,,515.3497811382233,,,,,56.393257223638805,,,56.393257223638805,,,,,,56.393257223638805,56.393257223638805,,56.393257223638805,,
147,2043.0,DIST_NGS,,,56.55742819302485,,,,,508.9716077946693,,,,,56.55742819302485,,,56.55742819302485,,,,,,56.55742819302485,56.55742819302485,,56.55742819302485,,
148,2044.0,DIST_NGS,,,56.70059916241089,,,,,502.355968459128,,,,,56.70059916241089,,,56.70059916241089,,,,,,56.70059916241089,56.70059916241089,,56.70059916241089,,
149,2045.0,DIST_NGS,,,56.823370131796935,,,,,495.522516897322,,,,,56.823370131796935,,,56.823370131796935,,,,,,56.823370131796935,56.823370131796935,,56.823370131796935,,
